trip_no,start_date,end_date
189,2016-03-31 14:37:00,2016-03-31 15:09:00
190,2016-04-01 13:43:00,2016-04-01 14:01:00
191,2016-04-01 14:36:00,2016-04-01 15:24:00
192,2016-04-01 16:01:00,2016-04-01 16:49:00
193,2016-04-02 12:21:00,2016-04-02 14:47:00
194,2016-04-02 16:57:00,2016-04-02 18:09:00
195,2016-04-02 19:38:00,2016-04-02 22:36:00
196,2016-04-02 23:11:00,2016-04-03 01:34:00
197,2016-04-03 02:00:00,2016-04-03 04:16:00
198,2016-04-05 21:39:00,2016-04-05 21:55:00
199,2016-04-06 00:19:00,2016-04-06 00:39:00
200,2016-04-07 18:20:00,2016-04-07 18:39:00
201,2016-04-07 19:45:00,2016-04-07 20:00:00
202,2016-04-08 12:30:00,2016-04-08 12:48:00
203,2016-04-08 13:34:00,2016-04-08 13:51:00
204,2016-04-08 13:55:00,2016-04-08 14:03:00
205,2016-04-08 14:43:00,2016-04-08 15:20:00
206,2016-04-08 16:05:00,2016-04-08 16:47:00
207,2016-04-12 09:15:00,2016-04-12 09:26:00
208,2016-04-12 09:34:00,2016-04-12 09:53:00
209,2016-04-12 10:58:00,2016-04-12 11:18:00
210,2016-04-12 12:22:00,2016-04-12 12:44:00
211,2016-04-12 13:42:00,2016-04-12 14:01:00
212,2016-04-14 07:29:00,2016-04-14 08:09:00
213,2016-04-14 16:00:00,2016-04-14 16:43:00
214,2016-04-15 11:36:00,2016-04-15 12:07:00
215,2016-04-15 12:29:00,2016-04-15 12:32:00
216,2016-04-15 14:31:00,2016-04-15 15:01:00
217,2016-04-16 12:59:00,2016-04-16 13:17:00
218,2016-04-16 15:10:00,2016-04-16 15:26:00
219,2016-04-19 17:44:00,2016-04-19 18:08:00
220,2016-04-19 19:57:00,2016-04-19 20:19:00
221,2016-04-22 08:25:00,2016-04-22 09:04:00
222,2016-04-22 10:10:00,2016-04-22 10:40:00
223,2016-04-22 12:08:00,2016-04-22 12:28:00
224,2016-04-22 13:02:00,2016-04-22 13:26:00
225,2016-04-23 17:03:00,2016-04-23 17:16:00
226,2016-04-23 18:49:00,2016-04-23 19:05:00
227,2016-04-24 19:07:00,2016-04-24 19:16:00
228,2016-04-24 19:46:00,2016-04-24 19:52:00
229,2016-04-24 21:41:00,2016-04-24 21:50:00
230,2016-04-27 13:30:00,2016-04-27 13:40:00
231,2016-04-27 14:13:00,2016-04-27 14:25:00
232,2016-04-28 12:09:00,2016-04-28 12:34:00
233,2016-04-28 13:30:00,2016-04-28 13:49:00
234,2016-04-28 22:10:00,2016-04-28 22:28:00
235,2016-04-29 11:44:00,2016-04-29 12:01:00
236,2016-04-29 13:13:00,2016-04-29 13:34:00
237,2016-04-29 18:46:00,2016-04-29 19:18:00
238,2016-04-29 22:44:00,2016-04-29 23:19:00
239,2016-04-30 18:42:00,2016-04-30 18:57:00
240,2016-05-01 13:45:00,2016-05-01 13:53:00
241,2016-05-01 17:33:00,2016-05-01 17:45:00
242,2016-05-01 17:54:00,2016-05-01 18:10:00
243,2016-05-01 22:38:00,2016-05-01 22:49:00
244,2016-05-02 14:14:00,2016-05-02 14:21:00
245,2016-05-02 15:37:00,2016-05-02 15:48:00
246,2016-05-03 22:20:00,2016-05-03 22:28:00
247,2016-05-04 15:16:00,2016-05-04 15:37:00
248,2016-05-04 20:55:00,2016-05-04 21:14:00
249,2016-05-04 21:30:00,2016-05-04 21:36:00
250,2016-05-04 22:19:00,2016-05-04 22:27:00
251,2016-05-05 21:24:00,2016-05-05 21:36:00
252,2016-05-05 22:34:00,2016-05-05 22:40:00
253,2016-05-05 23:55:00,2016-05-06 00:08:00
254,2016-05-06 05:47:00,2016-05-06 06:02:00
255,2016-05-06 16:45:00,2016-05-06 16:59:00
256,2016-05-06 17:18:00,2016-05-06 17:44:00
257,2016-05-09 06:08:00,2016-05-09 06:25:00
258,2016-05-09 14:39:00,2016-05-09 15:06:00
259,2016-05-09 17:58:00,2016-05-09 18:26:00
260,2016-05-09 19:35:00,2016-05-09 19:59:00
261,2016-05-10 09:03:00,2016-05-10 09:20:00
262,2016-05-10 17:19:00,2016-05-10 17:31:00
263,2016-05-11 08:35:00,2016-05-11 09:12:00
264,2016-05-11 21:47:00,2016-05-11 22:04:00
265,2016-05-14 18:35:00,2016-05-14 18:39:00
266,2016-05-14 23:01:00,2016-05-14 23:05:00
267,2016-05-17 13:15:00,2016-05-17 13:23:00
268,2016-05-17 13:56:00,2016-05-17 14:08:00
269,2016-05-17 14:34:00,2016-05-17 14:40:00
270,2016-05-18 09:11:00,2016-05-18 09:41:00
271,2016-05-18 13:00:00,2016-05-18 13:02:00
272,2016-05-19 14:37:00,2016-05-19 15:01:00
273,2016-05-20 10:56:00,2016-05-20 11:07:00
274,2016-05-20 15:43:00,2016-05-20 16:12:00
275,2016-05-22 15:39:00,2016-05-22 15:46:00
276,2016-05-22 18:46:00,2016-05-22 18:53:00
277,2016-05-23 20:19:00,2016-05-23 20:27:00
278,2016-05-23 21:09:00,2016-05-23 21:21:00
279,2016-05-27 20:26:00,2016-05-27 20:30:00
280,2016-05-27 22:11:00,2016-05-27 22:14:00
281,2016-05-28 00:15:00,2016-05-28 00:21:00
282,2016-05-28 12:52:00,2016-05-28 13:06:00
283,2016-05-28 14:35:00,2016-05-28 15:04:00
284,2016-05-31 13:54:00,2016-05-31 14:41:00
285,2016-05-31 16:02:00,2016-05-31 16:39:00
286,2016-06-01 10:19:00,2016-06-01 10:47:00
