trip_no,start_location,stop_location
183,Jacksonville,Kissimmee
184,Lake Reams,Lake Reams
185,Orlando,Kissimmee
186,Kissimmee,Orlando
187,Orlando,Kissimmee
188,Kissimmee,Orlando
189,Orlando,Kissimmee
190,Kissimmee,Kissimmee
191,Kissimmee,Orlando
192,Orlando,Kissimmee
193,Kissimmee,Daytona Beach
194,Daytona Beach,Jacksonville
195,Jacksonville,Ridgeland
196,Ridgeland,Florence
197,Florence,Cary
198,Whitebridge,Wayne Ridge
199,Wayne Ridge,Whitebridge
200,Cary,Morrisville
201,Morrisville,Cary
202,Cary,Durham
203,Durham,Cary
204,Westpark Place,Whitebridge
205,Cary,Raleigh
206,Raleigh,Cary
207,Whitebridge,Edgehill Farms
208,Cary,Raleigh
209,Meredith,Cedar Hill
210,Raleigh,Morrisville
211,Morrisville,Cary
212,Cary,Holly Springs
213,Holly Springs,Cary
214,Cary,Raleigh
215,Meredith Townes,Harden Place
216,Raleigh,Cary
217,Cary,Morrisville
218,Morrisville,Cary
219,Whitebridge,Wayne Ridge
220,Wayne Ridge,Whitebridge
221,Cary,Raleigh
222,Raleigh,Cary
223,Cary,Durham
224,Durham,Cary
225,Whitebridge,Tanglewood
226,Tanglewood,Whitebridge
227,Cary,Morrisville
228,Chessington,Chessington
229,Morrisville,Cary
230,Whitebridge,Burtrose
231,Burtrose,Whitebridge
232,Cary,Raleigh
233,Raleigh,Cary
234,Morrisville,Cary
235,Cary,Durham
236,Durham,Cary
237,Cary,Durham
238,Durham,Cary
239,Whitebridge,Waverly Place
240,Whitebridge,Westpark Place
241,Whitebridge,Tanglewood
242,Tanglewood,Parkway
243,Parkway,Whitebridge
244,Whitebridge,Westpark Place
245,Westpark Place,Whitebridge
246,Morrisville,Cary
247,Cary,Morrisville
248,Mcvan,Capitol One
249,Capitol One,University District
250,University District,Capitol One
251,Seattle,Redmond
252,Redmond,Bellevue
253,Bellevue,Seattle
254,Capitol One,Mcvan
255,Chapel Hill,Morrisville
256,Morrisville,Cary
257,Cary,Morrisville
258,San Francisco,Palo Alto
259,Palo Alto,Sunnyvale
260,Sunnyvale,Newark
261,Newark,Menlo Park
262,Menlo Park,Newark
263,Newark,San Francisco
264,Morrisville,Cary
265,Cary,Morrisville
266,Morrisville,Cary
267,Whitebridge,Preston
268,Preston,Westpark Place
269,Westpark Place,Whitebridge
270,Cary,Morrisville
271,Morrisville,Raleigh
272,Old City,Parkway Museums
273,Old City,Hog Island
274,Morrisville,Cary
275,Cary,Morrisville
276,Morrisville,Cary
277,Whitebridge,Savon Height
278,Savon Height,Whitebridge
279,Whitebridge,Kildaire Farms
280,Kilarney Woods,Kildaire Farms
281,Kilarney Woods,Whitebridge
282,Cary,Morrisville
283,Morrisville,Cary
284,Cary,Raleigh
285,Raleigh,Cary
286,Cary,Morrisville
287,Morrisville,Cary
288,Cary,Durham
289,Durham,Cary
290,Cary,Morrisville
291,Townes at Everett Crossing,Chessington
292,Morrisville,Cary
293,Huntington Woods,Weston
294,Morrisville,Cary
295,Whitebridge,Savon Height
296,Cary,Morrisville
297,Weston,Weston
298,Morrisville,Cary
299,Cary,Durham
300,Durham,Cary
301,Whitebridge,Hazelwood
302,Hazelwood,Whitebridge
303,Cary,Apex
304,Apex,Cary
305,Cary,Durham
306,Durham,Cary
307,Cary,Durham
308,Durham,Cary
309,Cary,Morrisville
310,Jamaica,New York
311,Seaport,Gramercy-Flatiron
